Group,BEV,PHEV,Benzin,Diesel,Andere,Total,BEV-Anteil,Durchschnitt CO2 (g/km)
Volkswagen Group,10175,5030,29642,5113,0,49960,0.204,115.9
Geely Group,3953,2104,1335,2,0,7394,0.535,47.7
BMW Group,3483,2251,5700,3172,0,14606,0.238,108.1
Tesla,3340,0,0,0,0,3340,1.0,0.0
Hyundai Motor Group,2918,467,5258,96,0,8739,0.334,89.2
Stellantis,2740,922,7657,674,0,11993,0.228,96.1
Mercedes-Benz Group,2726,1796,4266,3795,0,12583,0.217,122.8
Renault Group,2234,425,7723,122,0,10504,0.213,90.0
BYD Group,1570,2262,6,0,0,3838,0.409,31.5
Toyota Group,1213,749,6786,417,1,9166,0.132,91.4
Ford Motor Company,664,480,1484,571,0,3199,0.208,109.4
SAIC Group,632,211,2127,0,0,2970,0.213,86.6
Xpeng,311,0,0,0,0,311,1.0,0.0
Subaru Corporation,302,0,567,0,0,869,0.348,117.3
Nissan Alliance,249,194,1184,29,0,1656,0.15,93.0
JAC Group,243,3,0,0,0,246,0.988,0.0
Suzuki Motor Corporation,217,42,2148,0,0,2407,0.09,114.2
Mazda Motor Corporation,159,156,1678,232,0,2225,0.071,122.9
KG Mobility,33,0,253,58,0,344,0.096,171.3
Lucid Motors,30,0,0,0,0,30,1.0,0.0
Dongfeng Group,28,13,3,1,0,45,0.622,11.7
General Motors,18,0,13,0,0,31,0.581,27.7
GAC Group,12,0,0,0,0,12,1.0,0.0
SERES Group,10,0,0,0,0,10,1.0,0.0
DENZA,9,0,0,0,0,9,1.0,0.0
Other / Unknown / Specialty,4,23,13,1,0,41,0.098,20.5
Rimac Group,2,0,0,0,0,2,1.0,0.0
Club Car,2,0,0,0,0,2,1.0,0.0
FISKER,2,0,0,0,0,2,1.0,0.0
Aiways,1,0,0,0,0,1,1.0,0.0
Jiayuan,1,0,0,0,0,1,1.0,0.0
PININFARINA,1,0,0,0,0,1,1.0,0.0
Skywell,1,0,0,0,0,1,1.0,0.0
Ferrari,0,1,360,0,0,361,0.0,306.0
Dallara,0,0,3,0,0,3,0.0,216.0
BAIC Group,0,26,76,0,0,102,0.0,126.0
Aston Martin,0,0,128,0,0,128,0.0,293.0
BAW Group,0,0,0,1,0,1,0.0,242.0
Bugatti Rimac,0,0,7,0,0,7,0.0,495.0
Caterham,0,0,10,0,0,10,0.0,141.9
Chery Group,0,3,1,0,0,4,0.0,49.2
Morgan Motor Company,0,0,14,0,0,14,0.0,156.1
McLaren Group,0,0,25,0,0,25,0.0,239.5
MAN,0,0,0,24,0,24,0.0,284.6
INEOS Automotive,0,0,15,21,0,36,0.0,326.1
Honda Motor Company,0,73,1719,0,0,1792,0.0,120.4
PAGANI,0,0,1,0,0,1,0.0,347.0
SWM Motor,0,2,0,0,0,2,0.0,25.0
Tata Group,0,431,609,386,0,1426,0.0,149.2
