Group,Marke,BEV,PHEV,Benzin,Diesel,Andere,Total,BEV-Anteil,Durchschnitt CO2 (g/km)
Volkswagen Group,SKODA,4013,421,7164,1674,0,13272,0.302,100.2
Tesla,TESLA,3287,0,0,0,0,3287,1.0,0.1
BMW Group,BMW,2386,2152,4005,2999,0,11542,0.207,110.2
Geely Group,VOLVO,2218,1951,1262,2,0,5433,0.408,60.9
Mercedes-Benz Group,MERCEDES-BENZ,1860,1659,3970,3587,0,11076,0.168,130.0
Volkswagen Group,AUDI,1826,1848,5217,638,0,9529,0.192,113.8
Volkswagen Group,VW,1793,1589,9888,2455,0,15725,0.114,122.4
Renault Group,RENAULT,1698,407,2833,118,0,5056,0.336,69.6
BYD Group,BYD,1439,2107,6,0,0,3552,0.405,31.7
Hyundai Motor Group,KIA,1378,236,1805,93,0,3512,0.392,81.7
Hyundai Motor Group,HYUNDAI,1106,209,3027,1,0,4343,0.255,99.0
Toyota Group,TOYOTA,1041,522,5988,408,1,7960,0.131,92.2
Volkswagen Group,CUPRA,970,458,2651,0,0,4079,0.238,117.2
Stellantis,LEAPMOTOR,879,295,0,0,0,1174,0.749,8.7
Volkswagen Group,PORSCHE,775,396,1640,0,0,2811,0.276,161.6
Geely Group,ZEEKR,771,0,0,0,0,771,1.0,0.3
BMW Group,MINI,738,0,1349,0,0,2087,0.354,98.0
Geely Group,POLESTAR,686,0,0,0,0,686,1.0,0.0
Ford Motor Company,FORD,611,440,1405,540,0,2996,0.204,110.5
SAIC Group,MG,589,203,1979,0,0,2771,0.213,86.4
Mercedes-Benz Group,SMART,586,0,0,0,0,586,1.0,0.0
Stellantis,PEUGEOT,463,288,1915,228,0,2894,0.16,102.4
Stellantis,CITROEN,350,9,1350,201,0,1910,0.183,111.8
Stellantis,OPEL,325,56,1689,94,0,2164,0.15,104.9
Stellantis,FIAT,290,7,932,73,0,1302,0.223,100.1
Xpeng,XPENG,279,0,0,0,0,279,1.0,0.0
Subaru Corporation,SUBARU,273,0,547,0,0,820,0.333,119.9
JAC Group,JAC,231,3,0,0,0,234,0.987,0.0
Suzuki Motor Corporation,SUZUKI,208,29,1988,0,0,2225,0.093,114.2
Renault Group,ALPINE,195,0,38,0,0,233,0.837,27.4
Nissan Alliance,NISSAN,192,5,632,26,0,855,0.225,105.1
Renault Group,DACIA,164,1,4296,1,0,4462,0.037,117.0
Hyundai Motor Group,GENESIS,137,0,6,0,0,143,0.958,10.4
